EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-28500738	CIL 03, 06010,086	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Felixs(!) fe(cit)	Felixs fe	Felixs fecit	opus figlinae		47.5025779	9.7472924						
EDCS-28500739	CIL 03, 06010,092	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Of(ficina) Frontini	Of Frontini	Officina Frontini	opus figlinae		47.5025779	9.7472924						
EDCS-28500740	CIL 03, 06010,114	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Of(ficina) Labio(nis)	Of Labio	Officina Labionis	opus figlinae		47.5025779	9.7472924						
EDCS-28500741	CIL 03, 06010,115	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Laco	Laco	Laco	opus figlinae		47.5025779	9.7472924						
EDCS-28500742	CIL 03, 06010,119	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Latinni	Latinni	Latinni	opus figlinae		47.5025779	9.7472924						
EDCS-28500743	CIL 03, 06010,122	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Lucinus fe(cit)	Lucinus fe	Lucinus fecit	opus figlinae		47.5025779	9.7472924						
EDCS-28500744	CIL 03, 06010,126	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Macrini	Macrini	Macrini	opus figlinae		47.5025779	9.7472924						
EDCS-28500745	CIL 03, 06010,136b	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Materni	Materni	Materni	opus figlinae		47.5025779	9.7472924						
EDCS-28500746	CIL 03, 06010,161b	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Pau[l]lus f(ecit)	Paulus f	Paullus fecit	opus figlinae		47.5025779	9.7472924						
EDCS-28500747	CIL 03, 06010,172 (p 1052)	Raetia	Bregenz / Brigantium					nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Of(ficina) Primi	Of Primi	Officina Primi	opus figlinae		47.5025779	9.7472924						
