EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-10500997	CIL 13, 02041 = CAG-69-02, p 442 = Nauta 00027	Lugudunensis	Lyon / Lugudunum						] splendidissim[u]m / perpetuam vacatione[m] / decre[v(it)] / l(ocus) d(atus) d(ecreto) n(autarum) Araric(orum)	splendidissimm perpetuam vacatione decre l d d n Araric	splendidissimum perpetuam vacationem decrevit locus datus decreto nautarum Araricorum			45.7578137	4.8320114						
EDCS-10500998	CIL 13, 02042 = CAG-69-02, p 478	Lugudunensis	Lyon / Lugudunum						]CL / [3]siar [3] / [3]IAIT / [	CL siar IAIT	CL siar IAIT			45.7578137	4.8320114						
EDCS-10500999	CIL 13, 02043	Lugudunensis	Lyon / Lugudunum						Vicanis BELATVMGIFI(?)	Vicanis BELATVMGIFI	Vicanis BELATVMGIFI			45.7578137	4.8320114						
EDCS-10501000	CIL 13, 02044 = ILTG 00216 = CAG-69-02, p 294 = AE 1959, 00169 = AE 1964, 00146a1 = EAOR-05, 00079,6 = AE 2013, +01155	Lugudunensis	Lyon / Lugudunum						Vel]lavor(um?) [	Vellavor	Vellavorum			45.7578137	4.8320114		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_13_02044.jpg;$CIL_13_02044_1.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD019375			
EDCS-10501001	CIL 13, 02045 = CAG-69-02, p 801	Lugudunensis	Lyon / Lugudunum					liberti/libertae	Memoriae / Pacci Sabiniani / Cale libert(a) / patrono bene meren[t(i)] / p(onendum) c(uravit) et sub ascia dedi<c=K>avit	Memoriae Pacci Sabiniani Cale libert patrono bene meren p c et sub ascia dediKavit	Memoriae Pacci Sabiniani Cale liberta patrono bene merenti ponendum curavit et sub ascia dedicavit			45.7578137	4.8320114						
EDCS-10501002	CIL 13, 02046 = CAG-69-02, p 469	Lugudunensis	Lyon / Lugudunum					mulieres;  tituli sepulcrales;  viri	D(is) M(anibus) / et memoriae aetern(ae) / Acutiae Amatricis / feminae probissi[mae] / qu(a)e cum marito / vixit sin{a}e ul[l]o / crimine qu[a]m / abstulerunt fa[ta] / iniqua a natis et / coniuge mino/rem annorum XXX / ob cuius merita et / pietatem hoc mon<u=I>/mentum C(aius) Cantius / [F]luentinus coniugi / carissimae p(onendum) c(uravit) et sub / ascia dedicavit	D M et memoriae aetern Acutiae Amatricis feminae probissi que cum marito vixit sinae ulo crimine qum abstulerunt fa iniqua a natis et coniuge minorem annorum XXX ob cuius merita et pietatem hoc monImentum C Cantius luentinus coniugi carissimae p c et sub ascia dedicavit	Dis Manibus et memoriae aeternae Acutiae Amatricis feminae probissimae quae cum marito vixit sine ullo crimine quam abstulerunt fata iniqua a natis et coniuge minorem annorum XXX ob cuius merita et pietatem hoc monumentum Caius Cantius Fluentinus coniugi carissimae ponendum curavit et sub ascia dedicavit			45.7578137	4.8320114						
EDCS-10501003	CIL 13, 02047 = CAG-69-02, p 609	Lugudunensis	Lyon / Lugudunum						Hic a[dquiescit 3] / Ap[3] / Urbi[	Hic a Ap Urbi	Hic adquiescit Ap Urbi			45.7578137	4.8320114						
EDCS-10501004	CIL 13, 02048 = CAG-69-02, p 421	Lugudunensis	Lyon / Lugudunum					liberti/libertae;  mulieres;  tituli sepulcrales;  viri	D(is) M(anibus) / [3] Aeli Felician(i) / [3]inia Chry/[si]s coniugi / [v]iva vivo / sub ascia / dedicavit / [3] lib(ertus?)	D M Aeli Felician inia Chrys coniugi iva vivo sub ascia dedicavit lib	Dis Manibus Aeli Feliciani inia Chrysis coniugi viva vivo sub ascia dedicavit libertus			45.7578137	4.8320114		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_13_02048.jpg;$CIL_13_02048_1.jpg				
EDCS-10501005	CIL 13, 02049 = CAG-69-02, p 799 = Laubry-2021, p 237	Lugudunensis	Lyon / Lugudunum					mulieres;  nomen singulare;  tituli operum;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / et aeternae quieti P(ubli) / Aeli Maximi Poly/chroni qui v(i)xit an/nis II m(ensibus) III d(iebus) IIII Aelia / Eutychiane et Aga/petus parentes fi/lio dulcissimo / p(onendum) c(uraverunt) cui locum ar(a)e / pietati concessit / Iul(ia) Barb[i]ane matro/na incomparabi/lis sub ascia dedicatum est	D M et aeternae quieti P Aeli Maximi Polychroni qui vxit annis II m III d IIII Aelia Eutychiane et Agapetus parentes filio dulcissimo p c cui locum are pietati concessit Iul Barbane matrona incomparabilis sub ascia dedicatum est	Dis Manibus et aeternae quieti Publi Aeli Maximi Polychroni qui vixit annis II mensibus III diebus IIII Aelia Eutychiane et Agapetus parentes filio dulcissimo ponendum curaverunt cui locum arae pietati concessit Iulia Barbiane matrona incomparabilis sub ascia dedicatum est	lapis		45.7578137	4.8320114		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_13_02073_2.jpg				
EDCS-10501006	CIL 13, 02050 = CAG-69-02, p 653	Lugudunensis	Lyon / Lugudunum					mulieres;  tituli sepulcrales;  viri	D(is) M(anibus) / et quieti aeternae / Aeli Veriae et Anti(a)e / Secundinae coniugibus / insig(nis) aetatis consumpti[s] / vitae bonae animae / dulcissimae / Aelius Valerianus et / Titus Antius Gratinus / parentes ponendum / curaverunt et / sub ascia dedicaver(unt)	D M et quieti aeternae Aeli Veriae et Antie Secundinae coniugibus insig aetatis consumpti vitae bonae animae dulcissimae Aelius Valerianus et Titus Antius Gratinus parentes ponendum curaverunt et sub ascia dedicaver	Dis Manibus et quieti aeternae Aeli Veriae et Antiae Secundinae coniugibus insignis aetatis consumptis vitae bonae animae dulcissimae Aelius Valerianus et Titus Antius Gratinus parentes ponendum curaverunt et sub ascia dedicaverunt			45.7578137	4.8320114						
