EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-61200031	Epigraphica-1982-188	Italia	?					mulieres;  tituli sepulcrales	[D(is)] M(anibus) / [3]ri(a)e fili[ae] / [3 vix]it ann(os) n(umero) [	M rie fili it ann n	Dis Manibus riae filiae vixit annos numero						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Epigraphica_1982_188.jpg				
EDCS-77700123	Epigraphica-2020-412,1	Italia	?	71	200	71	200	milites;  mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Ti(berio) Claudio / Felici mil(iti) coh(ortis) X pr(aetoriae) / |(centuria) Verri v(ixit) ann(os) XXIII / mil(itavit) ann(os) III / Claudia / Tertulla et / Flavius Felix / parentes filio / piissimo et sibi	D M Ti Claudio Felici mil coh X pr Verri v ann XXIII mil ann III Claudia Tertulla et Flavius Felix parentes filio piissimo et sibi	Dis Manibus Tiberio Claudio Felici militi cohortis X praetoriae centuria Verri vixit annos XXIII militavit annos III Claudia Tertulla et Flavius Felix parentes filio piissimo et sibi	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Epigraphica-2020-412-1.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N176485			71 to 200
EDCS-77700124	Epigraphica-2020-414,2	Italia	?	101	230	101	230	mulieres;  nomen singulare;  servi/servae;  tituli sepulcrales;  viri	D(is) M(anibus) / Crescentini / qui vix(it) an(nos) VI / m(enses) VII Cresce/ns et Prima a/lumno dul/cissimo	D M Crescentini qui vix an VI m VII Crescens et Prima alumno dulcissimo	Dis Manibus Crescentini qui vixit annos VI menses VII Crescens et Prima alumno dulcissimo	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Epigraphica-2020-414-2.jpg				101 to 230
EDCS-77700125	Epigraphica-2020-415,3	Italia	?	-27	70	-27	70	liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri	Maecenatia C(ai) |(mulieris) l(iberta) / Prisca sibi et / C(aio) Purellio C(ai) f(ilio) Rufo / coniugi suo / fecit et / posterisque suis / in fr(onte) p(edes) XII in ag(ro) p(edes) XIII	Maecenatia C l Prisca sibi et C Purellio C f Rufo coniugi suo fecit et posteris que suis in fr p XII in ag p XIII	Maecenatia Cai mulieris liberta Prisca sibi et Caio Purellio Cai filio Rufo coniugi suo fecit et posteris que suis in fronte pedes XII in agro pedes XIII	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Epigraphica-2020-415-3.jpg				-27 to 70
EDCS-77700126	Epigraphica-2020-416,4	Italia	?	1	200	1	200	mulieres;  tituli sepulcrales;  tria nomina;  viri	M(arcus) Gabius M(arci) f(ilius) Ter(etina) Rufus / v(ixit) a(nnos) VIII / M(arcus) Gabius Agrippa filio / fecit et / Gabiae Irini filiae v(ixit) a(nnos) VIII / et sibi et / Alfiae Ephyre	M Gabius M f Ter Rufus v a VIII M Gabius Agrippa filio fecit et Gabiae Irini filiae v a VIII et sibi et Alfiae Ephyre	Marcus Gabius Marci filius Teretina Rufus vixit annos VIII Marcus Gabius Agrippa filio fecit et Gabiae Irini filiae vixit annos VIII et sibi et Alfiae Ephyre	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Epigraphica-2020-416-4.jpg				1 to 200
EDCS-81000128	Gaultier-2018, p 168	Italia	?					praenomen et nomen;  sigilla impressa;  tituli fabricationis;  viri	M(arcus) Petronius	M Petronius	Marcus Petronius	opus figlinae					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Gaultier-2018-p168.jpg				
EDCS-16000001	ILLRP 00810	Italia	?					officium/professio;  tituli fabricationis	Soc(iorum) sal(inatorum) et scr(ipturariorum)	Soc sal et scr	Sociorum salinatorum et scripturariorum										
EDCS-13400087	ILLRP 01070 = Zarker 00001 = Epigraphica-2004-37 = AE 1953, 00022 = AE 1962, 00307 = AE 1963, 00151	Italia	?	-350	-301	-350	-301	nomen singulare;  tituli sacri;  viri	Se cedues / perdere / nolo ni ceduas Fortu/na Servios perit	Se cedues perdere nolo ni ceduas Fortuna Servios perit	Se cedues perdere nolo ni ceduas Fortuna Servios perit							http://db.edcs.eu/epigr/partner.php?s_language=en&param=N073900;HD018347;m|appe|280			-350 to -301
EDCS-75700047	Lupa 31053	Italia	?					mulieres;  viri	[3]orus / [3]cili / [3]ae / [3]ae	orus cili ae ae	orus cili ae ae	lapis					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_30153			
EDCS-72800165	Mennella-2017e, p 249,24	Italia	?	1	100	1	100	tituli sepulcrales;  viri	D(is) M(anibus) / L(ucius) Iulius [	D M L Iulius	Dis Manibus Lucius Iulius	lapis						http://db.edcs.eu/epigr/partner.php?s_language=en&param=N168314			1 to 100
