EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-14804195	CIL 09, 03186 (p 1416)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	71	130	71	130	liberti/libertae;  mulieres;  seviri Augustales;  tria nomina;  viri	C(aio) Maecio C(ai) l(iberto) / Fortunato / sevir(o) Aug(ustali) / Fadia Vibia / coniugi et / Fadius Provi/ncialis b(ene) m(erenti) / p(osuerunt)	C Maecio C l Fortunato sevir Aug Fadia Vibia coniugi et Fadius Provincialis b m p	Caio Maecio Cai liberto Fortunato seviro Augustali Fadia Vibia coniugi et Fadius Provincialis bene merenti posuerunt	lapis		42.123733	13.841504		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CI_CIL_09_03186.jpg;PH0004772	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0051749;cil09_p424;N177359			71 to 130
EDCS-14804196	CIL 09, 03187 (p 1416)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	1	100	1	100	liberti/libertae;  mulieres;  seviri Augustales;  tituli sepulcrales;  tria nomina;  viri	Petruculeia Q(uinti) f(ilia) / Quarta / Q(uinto) Petruculeio Q(uinti) f(ilio) / Rufo patri / Vibiae |(mulieris) l(ibertae) Tertul[l]ae matri / [3 Petru]culeio Q(uinti) f(ilio) Paelino / [3] Pertruculeio Q(uinti) l(iberto) / [3]ni sev(iro) Aug(ustali) / [3]iae |(mulieris) l(ibertae) Tertullae / [3]iae |(mulieris) l(ibertae) Venustae / [3]iae |(mulieris) l(ibertae) Nemesi / T(ito) Accio T(iti) l(iberto) Simplici / T(ito) Accio T(iti) l(iberto) Paelino / T(itus) Accius T(iti) l(ibertus) Vitalis / sev(ir) Aug(ustalis) / sibi et suis / Accia[e] T(iti) l(ibertae) Naidi / T(ito) Accio T(iti) l(iberto) Ceriali / p(osuit)	Petruculeia Q f Quarta Q Petruculeio Q f Rufo patri Vibiae l Tertul ae matri culeio Q f Paelino Pertruculeio Q l ni sev Aug iae l Tertullae iae l Venustae iae l Nemesi T Accio T l Simplici T Accio T l Paelino T Accius T l Vitalis sev Aug sibi et suis Accia T l Naidi T Accio T l Ceriali p	Petruculeia Quinti filia Quarta Quinto Petruculeio Quinti filio Rufo patri Vibiae mulieris libertae Tertullae matri Petruculeio Quinti filio Paelino Pertruculeio Quinti liberto ni seviro Augustali iae mulieris libertae Tertullae iae mulieris libertae Venustae iae mulieris libertae Nemesi Tito Accio Titi liberto Simplici Tito Accio Titi liberto Paelino Titus Accius Titi libertus Vitalis sevir Augustalis sibi et suis Acciae Titi libertae Naidi Tito Accio Titi liberto Ceriali posuit	lapis		42.123733	13.841504		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0004774	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0051750;cil09_p424;N177366			1 to 100
EDCS-14804197	CIL 09, 03188 (p 1417) = D 05273	Samnium / Regio IV	Corfinio / Pentima / Corfinium	1	100	1	100	leges;  liberti/libertae;  nomen singulare;  officium/professio;  tituli operum;  tria nomina;  viri	Operae urb(anae) sca<b=V>illar(ii) // Q(uintus) Honorius Anteros / L(ucius) Aufidius L(uci) l(ibertus) Utilis / C(aius) Lucilius Lupercus / L(ucius) Peticius Primus / Q(uintus) Ancilius Theodorus / L(ucius) Cornelius Modestus / L(ucius) Cornelius Privatus / Sex(tus) Attidius Faustus / P(ublius) Octavius Phileros // C(aius) Saluvius Philodamus / Q(uintus) Ancilius Eros / Erus / L(ucius) Helvius Faustus / L(ucius) Helvi(us) Probatus / L(ucius) Accaus Philadespotus / C(aius) Vesclarius Auctus / L(ucius) Octavius Alexander // C(aius) Lucilius Malchio / <Q=O>(uintus) F[3] Felix / Iucundus / Q(uintus) Cornelius P(ubli) f(ilius) Niger / Secundus	Operae urb scaVillar Q Honorius Anteros L Aufidius L l Utilis C Lucilius Lupercus L Peticius Primus Q Ancilius Theodorus L Cornelius Modestus L Cornelius Privatus Sex Attidius Faustus P Octavius Phileros C Saluvius Philodamus Q Ancilius Eros Erus L Helvius Faustus L Helvi Probatus L Accaus Philadespotus C Vesclarius Auctus L Octavius Alexander C Lucilius Malchio O F Felix Iucundus Q Cornelius P f Niger Secundus	Operae urbanae scabillarii Quintus Honorius Anteros Lucius Aufidius Luci libertus Utilis Caius Lucilius Lupercus Lucius Peticius Primus Quintus Ancilius Theodorus Lucius Cornelius Modestus Lucius Cornelius Privatus Sextus Attidius Faustus Publius Octavius Phileros Caius Saluvius Philodamus Quintus Ancilius Eros Erus Lucius Helvius Faustus Lucius Helvius Probatus Lucius Accaus Philadespotus Caius Vesclarius Auctus Lucius Octavius Alexander Caius Lucilius Malchio Quintus F Felix Iucundus Quintus Cornelius Publi filius Niger Secundus	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p425;de-b0332;N177369			1 to 100
EDCS-14804198	CIL 09, 03189 (p 1417) = D 07638	Samnium / Regio IV	Corfinio / Pentima / Corfinium	1	100	1	100	liberti/libertae;  mulieres;  officium/professio;  tituli sepulcrales;  tria nomina;  viri	L(ucio) Accauo L(uci) l(iberto) / Phileroti a<q=C>u/ario Lollia |(mulieris) l(iberta) / Fausta pos(u)it	L Accauo L l Phileroti aCuario Lollia l Fausta posit	Lucio Accauo Luci liberto Phileroti aquario Lollia mulieris liberta Fausta posuit	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p425;de-b0806;N176376;bu_CIL%26bibl_volume=9%26bibl_subvolume=%26bibl_insc=3189			1 to 100
EDCS-14804199	CIL 09, 03190 (p 1417)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	31	70	31	70	liberti/libertae;  mulieres;  nomen singulare;  officium/professio;  tituli sepulcrales;  tria nomina;  viri	Sex(tus) Bittius / Sex(ti) l(ibertus) Eleuther pistor / viv(u)s sivi et Fortu/natae filiae piissim(ae) / vix(it) an(nos) VIIII dies XVII / et Cerviae Sex(ti) l(ibertae) H[y]mnidi / cont<u=I>bernali vivae / p(osuit)	Sex Bittius Sex l Eleuther pistor vivs sivi et Fortunatae filiae piissim vix an VIIII dies XVII et Cerviae Sex l H mnidi contIbernali vivae p	Sextus Bittius Sexti libertus Eleuther pistor vivus sivi et Fortunatae filiae piissimae vixit annos VIIII dies XVII et Cerviae Sexti libertae Hymnidi contubernali vivae posuit	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p425;N176279			31 to 70
EDCS-14804200	CIL 09, 03191 (p 1417)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	1	200	1	200	liberti/libertae;  praenomen et nomen;  tituli sepulcrales;  tria nomina;  viri	Q(uinto) Marcio Q(uinti) l(iberto) / Philarg<y=U>ro / Pisaurensi / Sex(tus) Nassius M(arci) f(ilius) / posuit	Q Marcio Q l PhilargUro Pisaurensi Sex Nassius M f posuit	Quinto Marcio Quinti liberto Philargyro Pisaurensi Sextus Nassius Marci filius posuit	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p425;N176606			1 to 200
EDCS-14804201	CIL 09, 03192 (p 1417) = D 07667	Samnium / Regio IV	Corfinio / Pentima / Corfinium	1	100	1	100	liberti/libertae;  mulieres;  officium/professio;  tituli sepulcrales;  tria nomina;  viri	C(aius) Pulfidius / |(mulieris) l(ibertus) Nicia / tector / de suo pos(u)it / Pulfidia Melissa	C Pulfidius l Nicia tector de suo posit Pulfidia Melissa	Caius Pulfidius mulieris libertus Nicia tector de suo posuit Pulfidia Melissa	lapis		42.123733	13.841504			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p425;de-b0809;N176316;bu_CIL%26bibl_volume=9%26bibl_subvolume=%26bibl_insc=3192			1 to 100
EDCS-14804202	CIL 09, 03193 (p 1417) = CLE 00209 = D 07553 = CLERegio-IV 00032	Samnium / Regio IV	Corfinio / Pentima / Corfinium	1	100	1	100	carmina;  liberti/libertae;  mulieres;  officium/professio;  tituli operum;  tituli sepulcrales;  tria nomina;  viri	Statiae |(mulieris) l(ibertae) / Antiochini / C(aius) Gavius C(ai) f(ilius) / Quadratus vir / Gavia C(ai) et Antiochin(is) [f(ilia)] / Tertul(l)a / C(aius) Gavius C(ai) l(ibertus) / Idon<e=I>us cum sui[s] / qui cali<g=C>ulis lana / pelliculis vitam / toleravit suam [t]u qu[i] / legis vale et cum voles [ve]nito	Statiae l Antiochini C Gavius C f Quadratus vir Gavia C et Antiochin Tertula C Gavius C l IdonIus cum sui qui caliCulis lana pelliculis vitam toleravit suam u qu legis vale et cum voles nito	Statiae mulieris libertae Antiochini Caius Gavius Cai filius Quadratus vir Gavia Cai et Antiochinis filia Tertulla Caius Gavius Cai libertus Idoneus cum suis qui caligulis lana pelliculis vitam toleravit suam tu qui legis vale et cum voles venito	lapis		42.123733	13.841504		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CI_CIL_09_03193.jpg;PH0004760;PH0004775;PH0004777	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0035001;cil09_p425;de-b0796;N177381			1 to 100
EDCS-14804203	CIL 09, 03194 (p 1418)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	1	100	1	100	nomen singulare;  servi/servae;  tituli sepulcrales;  tria nomina;  viri	Cale[no(?)] / Accav[i] / Philemo/nis Cogita/tus et Coges/sus fratres / p(osuerunt)	Cale Accav Philemonis Cogitatus et Cogessus fratres p	Caleno Accavi Philemonis Cogitatus et Cogessus fratres posuerunt	lapis	Accav[i] Philemonis (servo)	42.123733	13.841504		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0004778	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0051751;cil09_p425;N177370			1 to 100
EDCS-14804204	CIL 09, 03195 (p 1418)	Samnium / Regio IV	Corfinio / Pentima / Corfinium	-50	-1	-50	-1	tituli sepulcrales	]dia[3] / [3 P]ostum[ // ]ACCA[	dia ostum ACCA	dia Postum ACCA	lapis		42.123733	13.841504		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0004779;PH0004780;PH0004781	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0051753;ko0051752;cil09_p425;N177371			-50 to -1
