EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-73600082	Thomsen-1917, 00082a	Arabia	Busra / Bostra	285	292	285	292	Augusti/Augustae;  miliaria;  viri	[Imp(eratori)] Caes(ari) Caio Valerio Dio[cletia]no Pio Fel[ici Inv]ic[t]o Aug(usto) Augusto populi [Bost]renorum // ]se [3]re [3] Bos[	Caes Caio Valerio Diono Pio Felico Aug Augusto populi se re Bos	Imperatori Caesari Caio Valerio Diocletiano Pio Felici Invicto Augusto Augusto populi Bostrenorum se re Bos	lapis		32.5191381	36.4805732						285 to 292
EDCS-73600083	Thomsen-1917, 00082b	Arabia	Busra / Bostra	285	292	285	292	Augusti/Augustae;  miliaria;  viri	Imp(eratori) C(aesari) C(aio) Val(erio) Diocletiano P(io) F(elici) Invicto Aug(usto) et Imp(eratori) C(aesari) Val(erio) Maximiano P(io) F(elici) Invicto Aug(usto)	Imp C C Val Diocletiano P F Invicto Aug et Imp C Val Maximiano P F Invicto Aug	Imperatori Caesari Caio Valerio Diocletiano Pio Felici Invicto Augusto et Imperatori Caesari Valerio Maximiano Pio Felici Invicto Augusto	lapis		32.5191381	36.4805732						285 to 292
EDCS-73600084	Thomsen-1917, 00082c	Arabia	Busra / Bostra	285	292	285	292	Augusti/Augustae;  miliaria;  viri	Imp(eratori) Caes(ari) C(aio) Aur(elio) V[al]erio Dioc[letiano	Imp Caes C Aur Verio Diocletiano	Imperatori Caesari Caio Aurelio Valerio Diocletiano	lapis		32.5191381	36.4805732						285 to 292
EDCS-73600085	Thomsen-1917, 00083a	Arabia	Busra / Bostra	193	193	193	193	Augusti/Augustae;  miliaria;  ordo senatorius;  tria nomina;  viri	Imp(erator) Caesar P(ublius) Helvius Pertinax Aug(ustus) princeps senatus co(n)s(ul) II pontifex maximus trib(unicia) potestate p(ater) p(atriae) et Caesar P(ublius) Helvius Pertinax filius princeps iuventutis per P(ublium) Aelium Severianu(m) Maximum leg(atum) Aug(usti) pro praetorem [m(ilia) p(assuum)] XXI // 	Imp Caesar P Helvius Pertinax Aug princeps senatus cos II pontifex maximus trib potestate p p et Caesar P Helvius Pertinax filius princeps iuventutis per P Aelium Severianu Maximum leg Aug pro praetorem XXI	Imperator Caesar Publius Helvius Pertinax Augustus princeps senatus consul II pontifex maximus tribunicia potestate pater patriae et Caesar Publius Helvius Pertinax filius princeps iuventutis per Publium Aelium Severianum Maximum legatum Augusti pro praetorem milia passuum XXI	lapis		32.5191381	36.4805732	GR					193 to 193
EDCS-73600086	Thomsen-1917, 00083b	Arabia	Busra / Bostra	194	194	194	194	Augusti/Augustae;  miliaria;  ordo senatorius;  tria nomina;  viri	Imperator Caesar Lucius Septimius Severus Pertinax Aug(ustus) p(ater) p(atriae) trib(unicia) pot(estate) II imp(erator) IIII co(n)s(ul) II per P(ublium) Ael(ium) Severianum Maximum leg(atum) Aug(usti) pr(o) pr(aetore) [m(ilia) p(assuum)] XXI // 	Imperator Caesar Lucius Septimius Severus Pertinax Aug p p trib pot II imp IIII cos II per P Ael Severianum Maximum leg Aug pr pr XXI	Imperator Caesar Lucius Septimius Severus Pertinax Augustus pater patriae tribunicia potestate II imperator IIII consul II per Publium Aelium Severianum Maximum legatum Augusti pro praetore milia passuum XXI	lapis		32.5191381	36.4805732	GR					194 to 194
EDCS-73600087	Thomsen-1917, 00083c = Thomsen-1917, 00085 = Thomsen-1917, 00085	Arabia	Busra / Bostra					miliaria	?			lapis		32.5191381	36.4805732						
EDCS-73600089	Thomsen-1917, 00086b	Arabia	Busra / Bostra	194	194	194	194	Augusti/Augustae;  miliaria;  ordo senatorius;  tria nomina;  viri	Imperator Caesar Lucius Septimius Severus Pertinax Aug(ustus) p(ater) p(atriae) trib(unicia) pot(estate) II imp(erator) IIII co(n)s(ul) II per P(ublium) Ael(ium) Severianum Maximum leg(atum) Aug(usti) pr(o) pr(aetore)	Imperator Caesar Lucius Septimius Severus Pertinax Aug p p trib pot II imp IIII cos II per P Ael Severianum Maximum leg Aug pr pr	Imperator Caesar Lucius Septimius Severus Pertinax Augustus pater patriae tribunicia potestate II imperator IIII consul II per Publium Aelium Severianum Maximum legatum Augusti pro praetore	lapis		32.5191381	36.4805732						194 to 194
EDCS-70800062	ADAJ-1953-8	Arabia	Cairn of Hani'					officium/professio;  tituli sepulcrales;  viri	Flamen Ca/iu<s=C> iu<d=T>ex TRICATV / fili<us=SU> <V=F>al[e]ri[ani]	Flamen CaiuC iuTex TRICATV fili Falri	Flamen Caius iudex TRICATV filiusU Valeriani			32.238590	37.249047						
EDCS-73600324	Thomsen-1917, 00176	Arabia	Chan El-Leddschun / El-Leddschun					miliaria	?			lapis		32.5786915	35.1806937						
EDCS-73600405	Thomsen-1917, 00233	Arabia	Chan El-Leddschun / El-Leddschun					miliaria	?			lapis		32.5786915	35.1806937						
EDCS-73600406	Thomsen-1917, 00234	Arabia	Chan El-Leddschun / El-Leddschun					miliaria	?			lapis		32.5786915	35.1806937						
EDCS-73600407	Thomsen-1917, 00235	Arabia	Chan El-Leddschun / El-Leddschun					miliaria	?			lapis		32.5786915	35.1806937						
EDCS-73600408	Thomsen-1917, 00236	Arabia	Chan El-Leddschun / El-Leddschun					miliaria	?			lapis		32.5786915	35.1806937						
EDCS-73600409	Thomsen-1917, 00237	Arabia	Chan El-Leddschun / El-Leddschun					miliaria	?			lapis		32.5786915	35.1806937						
