EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-05100300	CIL 05, 05147	Transpadana / Regio XI	Bergamo / Bergomum				A(uli) N() Albi			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p553;N092057 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092057&partId=1	45.6944947	9.6698727			
EDCS-05100301	CIL 05, 05148	Transpadana / Regio XI	Bergamo / Bergomum	71	200		Atestia Ide / Atestiae / Tertiae patron(ae) / bene merenti et / Capitoni Binetae / et Martiae et Primul() / delicatis et / T(ito) Flavio Celeri / amico carissimo / et Atestiae Egnatiae			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p553;N092058;CO0084620 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0084620 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092058&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05148.jpg;pp
EDCS-05100302	CIL 05, 05149	Transpadana / Regio XI	Bergamo / Bergomum	1	100	liberti/libertae; mulieres; nomen singulare; tituli sepulcrales; tria nomina	Atiliae |(mulieris) l(ibertae) / Elpini / Prima l(iberta) patronae			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p553;N092059 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092059&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05149.jpg;pp
EDCS-05100303	CIL 05, 05150	Transpadana / Regio XI	Bergamo / Bergomum	26	100	liberti/libertae	] / Hilarus / tes(tamento) fieri iussit / L(ucius) Audasius L(uci) l(ibertus) / Licinus posuit			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p553;N092060 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092060&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05150.jpg;$CIL_05_05150_1.jpg;pp
EDCS-05100304	CIL 05, 05151	Transpadana / Regio XI	Bergamo / Bergomum	1	100	liberti/libertae	M(arcus) Betutius / M(arci) l(ibertus) Inachus / v(ivus) s(ibi) f(ecit) et / Corneliae P(ubli) l(ibertae) / Alendae			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p553;N092061 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092061&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05151.jpg;pp
EDCS-05100305	CIL 05, 05152	Transpadana / Regio XI	Bergamo / Bergomum	51	125	liberti/libertae; tituli sepulcrales; tria nomina; viri	Q(uinto) Caesio Q(uinti) l(iberto) / Priamo			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p553;N092062 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092062&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05152.jpg;$CIL_05_05152_1.jpg;pp
EDCS-05100306	CIL 05, 05153	Transpadana / Regio XI	Bergamo / Bergomum	1	100		St(atius) Consin[3] / Magiu[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p553;N092063 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092063&partId=1	45.6944947	9.6698727			
EDCS-05100307	CIL 05, 05154	Transpadana / Regio XI	Bergamo / Bergomum	1	25		C(aius) Cornelius C(ai) f(ilius) / Vot(uria) Calvos / vivs sibi et / L(ucio) Cornelio C(ai) f(ilio) / Vot(uria) fratri / h(oc) m(onumentum) h(eredem) n(on) s(equetur)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p554;N092064 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092064&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05154.jpg;$CIL_05_05154a.jpg;$CIL_05_05154_1.jpg;pp
EDCS-05100308	CIL 05, 05155 = AE 1998, 00611 = SupIt-16-B, 00015	Transpadana / Regio XI	Bergamo / Bergomum	69	96	liberti/libertae; mulieres; tituli sepulcrales; tria nomina; viri	] Cornelius / [3] Vegula / [sib]i et // ]riae / [3] f(iliae) / [3 c]on(iugi) / [ // Plautiae / Q(uinti) l(ibertae) / Rufae			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p554;N092065 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092065&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05155.jpg;$CIL_05_05155a.jpg;$Neu-59.jpg;pp
EDCS-05100309	CIL 05, 05156	Transpadana / Regio XI	Bergamo / Bergomum	1	125		[3] Domitio L(uci) f(ilio) / Vot(uria) / Montano			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p554;N092066 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092066&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-05100310	CIL 05, 05157	Transpadana / Regio XI	Bergamo / Bergomum	1	75	liberti/libertae	Furia P(ubli) l(iberta) / Tertulla / test(amento) fieri / iussit sibi et / P(ublio) Furio Bursae / patrono / et Daphinidi l(ibertae) / et Vitali l(iberto)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p554;N092067 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092067&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05157.jpg;$CIL_05_05157_1.jpg;pp
EDCS-05100311	CIL 05, 05158	Transpadana / Regio XI	Bergamo / Bergomum	1	100		L(ucio) Iegio C(ai) f(ilio) / Vot(uria) / Annio			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p554;N092068 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092068&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05158.jpg;$CIL_05_05158_1.jpg;pp
EDCS-05100312	CIL 05, 05159	Transpadana / Regio XI	Bergamo / Bergomum	26	75	tituli sepulcrales	V(ivus) f(ecit) / T(itus) Lidius C(ai) f(ilius) / Rufus sibi et / C(aio) Lidio Caco/rae fratri suo / [			http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p554;N092069 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR092069&partId=1	45.6944947	9.6698727			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_05159.jpg;$CIL_05_05190_1.jpg;pp
