EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-23100768	CIL 11, 05962	Umbria / Regio VI	Acqualagna / Pitinum Mergens	1	200	mulieres; ordo decurionum; tituli honorarii; tria nomina	L(ucio) Heidio Ser(vi) fi(lio) / Sertullae IIII/vir(o) quinq(uennali)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107078 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107078&partId=1	43.6258843	12.6759738			
EDCS-23100769	CIL 11, 05963 = Epigraphica-2008-221	Umbria / Regio VI	Acqualagna / Pitinum Mergens	101	200	mulieres; nomen singulare; ordo decurionum; tituli operum; viri	] / hoc [tet]rastulum c[um 3] / loco adsignato d(ecreto) d(ecurionum) Licinia [3] / pecunia sua fecit datis am[plius HS 3 m(ilibus) n(ummum)] / ex quorum reditu decuri[ones et plebs] / urbana quodannis K(alendis) Iun[iis die natali] / Rufi fili(i) sui epularentur [3] / item HS IIII m(ilibus) n(ummum) amplius datis ex [quorum reditu] / opus supra scriptum si quando [necesse esset] / reficeretur			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107083 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107083&partId=1	43.6258843	12.6759738			
EDCS-23100770	CIL 11, 05964	Umbria / Regio VI	Acqualagna / Pitinum Mergens	1	200	mulieres; ordo decurionum; tituli honorarii; tria nomina; viri	C(aius) Marius C(ai) f(ilius) Cl[u(stumina) 3] / aed(ilis) IIIIvir i(ure) d(icundo) IIIIv[ir 3] / Mariae C(ai) f(iliae) Gallae sorori / Heteriae L(uci) f(iliae) [Ga]llae matri / C(aio) Gellio C(ai) f(ilio) Clu(stumina) Blaeso aed(ili) / fratri / loco publice dato			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107086 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107086&partId=1	43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-23100771	CIL 11, 05965 = Gregori-2018-OD23	Umbria / Regio VI	Acqualagna / Pitinum Mergens	101	200	liberti/libertae; ordo decurionum; seviri Augustales; tituli honorarii; tituli operum; tria nomina; viri	[C(aio) M]essio C(ai) lib(erto) / Zosimo / [sevir]o Augustali hic / [et Foro] Semproni orna/[mentis] decurionalibus ab / [ordine] Pit(inatium) Merg(entinorum) honorato / [decuri]ones et plebs urban(a) / ob merita / [cuius d]edicatione decurionibus / [sing]ulis HS XII plebeis / HS 3 et] epulas dedit et / [vis]cerationem			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107122 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107122&partId=1	43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-23100772	CIL 11, 05966	Umbria / Regio VI	Acqualagna / Pitinum Mergens			liberti/libertae	]PONIA[3] / [3]atiss[3] / [3] Pit(inatium?) S M[3] / [3]T[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107123 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107123&partId=1	43.6258843	12.6759738			
EDCS-23100773	CIL 11, 05967	Umbria / Regio VI	Acqualagna / Pitinum Mergens	51	200	liberti/libertae; mulieres; seviri Augustales; tituli sepulcrales; tria nomina; viri	] loc[3] / C(aio) Orfidio / C(ai) l(iberto) Casto / VIviro / Ofitulena Prima			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107124;CO0003878 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0003878 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107124&partId=1	43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0002705;pp
EDCS-23100774	CIL 11, 05968	Umbria / Regio VI	Acqualagna / Pitinum Mergens	1	200	nomen singulare; officium/professio; servi/servae; tituli sepulcrales; viri	Sabino / Fructi pub(lici) s[r(vi)] / vicario			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107125;CO0047423 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0047423 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107125&partId=1	43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0005920;pp
EDCS-23100775	CIL 11, 05969	Umbria / Regio VI	Acqualagna / Pitinum Mergens				] / quod [3] / publ[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107126 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107126&partId=1	43.6258843	12.6759738			
EDCS-23100776	CIL 11, 05970	Umbria / Regio VI	Acqualagna / Pitinum Mergens	51	200	tituli sepulcrales; tria nomina; viri	D(is) M(anibus) / C(ai) Arri / Mystici / [q(ui)] vix(it) an(nos) XVI di(es) VI			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107128 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107128&partId=1	43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp
EDCS-23100777	CIL 11, 05971 = CIL 06, 12783	Umbria / Regio VI	Acqualagna / Pitinum Mergens	101	300	mulieres; nomen singulare; tituli sacri; tituli sepulcrales; tria nomina; viri	Sirica / d(is) M(anibus) / Atulliae Faustinae / filiae dulcissimae / quae vixit annis XVIIII / mens(ibus) V dieb(us) III / Atulli Primitivus / et Victoria contra votum / b(ene) m(erenti)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107129 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107129&partId=1	43.6258843	12.6759738			
EDCS-23100778	CIL 11, 05972 = Alumnus 00301	Umbria / Regio VI	Acqualagna / Pitinum Mergens	51	200	liberti/libertae; mulieres; tituli sepulcrales; tria nomina; viri	D(is) [M(anibus)] / Claudiae [3] / T(itus) Flavius Ianuarius / alumnus b(ene) m(erenti)			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107130 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107130&partId=1	43.6258843	12.6759738			
EDCS-23100779	CIL 11, 05972a	Umbria / Regio VI	Acqualagna / Pitinum Mergens			tituli sepulcrales; tria nomina; viri	C(aio) Coc[ceio] / Sa[turnino] / (uintus) Numi[sius] / De[			http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107131 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR107131&partId=1	43.6258843	12.6759738			
