EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Material	Comment	Links	Latitude	Longitude	TM Place	language	photo
EDCS-14804478	CIL 09, 03454 (p 1607)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum			mulieres; tituli sepulcrales	]alli / [3 u]xori / [3] Attiae / [3]F	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450	42.277935	13.608297			
EDCS-14804479	CIL 09, 03455 (p 1607)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	1	100	tituli sepulcrales; tria nomina; viri	] / P(ublius) Betu[tius] / P(ubli) f(ilius) / Barr[us]	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450	42.277935	13.608297			
EDCS-14804480	CIL 09, 03456 (p 1607)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	nomen singulare; servi/servae; tituli sepulcrales; tria nomina; viri	T(itus) Blaesius Lydu[s] / sibi et Martin[o] / servo posuit	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450;CO0083366 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083366	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008530
EDCS-14804481	CIL 09, 03457 (p 1607) = CIL 01, 03267	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	-70	-31	viri	Sal(vius) Caesienus N[	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450;CO0001281 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0001281	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0001208
EDCS-14804482	CIL 09, 03458 (p 1607)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	mulieres; tituli sepulcrales; tria nomina; viri	c]ar[is]simae / T(itus) Caesienus / Firmus pient(issimo) / [3] p(osuit)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450;CO0083367 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083367	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008532
EDCS-14804483	CIL 09, 03459 (p 1607)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	liberti/libertae; tituli sepulcrales; tria nomina; viri	[Suavi(?) conc]erroni(?) / [optimo h]omini // C(ai) Caesini / C(ai) li(berti?) Salvi	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450;CO0083368 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083368	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008533
EDCS-14804484	CIL 09, 03460 (p 1608)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum			tituli sepulcrales; tria nomina; viri	C(aius) Caius C(ai) [3] / Diocles [3] / sibi et [	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450;CO0083369 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083369	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008534
EDCS-14804485	CIL 09, 03461 (p 1608)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	1	100	liberti/libertae; mulieres; tituli sepulcrales; tria nomina; viri	C(aius) Catius C(ai) l(ibertus) / Agat(h)o / vivs sibi et / Caiae C(ai) l(ibertae) / Caesiae / p(osuit)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450	42.277935	13.608297			
EDCS-14804486	CIL 09, 03462 (p 1608)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	-50	-1	tituli sepulcrales; tria nomina; viri	L(ucius) Cati[us] / L(uci) f(ilius) / Dentio [	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450;CO0083370 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083370	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008535
EDCS-14804487	CIL 09, 03463 (p 1608)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	mulieres; nomen singulare; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) s(acrum) / C(h)resto filio / dulcissim(o) / q(ui) v(ixit) a(nnos) VI m(ensem) I / Varenus / Atilius et / Severina / b(ene) m(erenti) p(osuerunt)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450;CO0083371;N167354 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083371 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR167354&partId=1	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008536
EDCS-14804488	CIL 09, 03464 (p 1608)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	101	200	liberti/libertae; mulieres; tituli sepulcrales; tria nomina; viri	D(is) M(anibus) [s(acrum)] / Co(n)sidiae T(iti) l(ibertae) / Civitati matri / P(ublio) Aianio P(ubli) l(iberto) / Festo fratri / Considiae / Ariad{i}n sorori / T(itus) Considius / Iuvenis	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450;CO0083372 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083372	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008537;PH0008538
EDCS-14804489	CIL 09, 03465 (p 1609)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	71	100	mulieres; nomen singulare; tituli sepulcrales; tria nomina; viri	Curio filio dulcissimo / vix(it) an(num) men(ses) III dies XVI / Domitius Abas Salonina paren(tes)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450	42.277935	13.608297			
EDCS-14804490	CIL 09, 03466 (p 1609)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum			mulieres; nomen singulare; servi/servae; tituli sepulcrales; tria nomina	Dictynnae [ser(vae)] / Septimien[ae] / Pollae Spen[du]/sa soror e[ius] / v(ixit) a(nnos) XVI[3]	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450	42.277935	13.608297			
EDCS-14804491	CIL 09, 03467 (p 1608)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	1	100	liberti/libertae; mulieres; nomen singulare; tituli sepulcrales; tria nomina; viri	Sex(to) Flavio / Sex(ti) l(iberto) Tertio / Pescennediae / Daphnidi / Hilario patr[i] / et matri p(osuit)	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p450;CO0083373 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083373	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008539;PH0008540
EDCS-14804492	CIL 09, 03468 (p 1608)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum			viri	C(aio) Furfio A(uli) f(ilio) [	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p451;CO0083374 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083374	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008541
EDCS-14804493	CIL 09, 03469 (p 1608)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum	71	100	mulieres; nomen singulare; servi/servae; tituli sepulcrales; viri	Hespero / [D]omitiae Domitiani / ser(vo) / [Pe]culiaris et / [L]ucifer patri piis/[sim]o et sanctissim[o] / [	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p451;CO0083375 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0083375	42.277935	13.608297			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0008542;PH0008543
EDCS-14804494	CIL 09, 03470 (p 1610)	Samnium / Regio IV	Prata d|Ansidonia / Peltuinum			mulieres; tituli sepulcrales; tria nomina	[3]ioniae (uci) (iliae) / ertiai(!) / Hilarion[i] / Tychen[i] / [	lapis		http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil09_p451	42.277935	13.608297			
